Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
Baptist Medical Center South,Jacksonville,0,0,0,Florida
Bartow Regional Medical Center,Bartow,72,"3,005","11,481",Florida
Bascom Palmer Eye Institute,Miami,56,51,165,Florida
Bay Medical Sacred Heart,Panama City,293,"11,247","59,970",Florida
Bay Pines VA Healthcare System,Bay Pines,0,0,0,Florida
Bayfront Health Brooksville,Brooksville,244,"9,534","38,369",Florida
Bayfront Health Port Charlotte,Port Charlotte,254,"10,620","49,813",Florida
Bayfront Health Punta Gorda,Punta Gorda,176,"3,944","16,972",Florida
Bayfront Health Seven Rivers,Crystal River,128,"5,922","24,309",Florida
Bayfront Health Spring Hill,Spring Hill,88,"4,933","19,869",Florida
Bayfront Health St. Petersburg,Saint Petersburg,358,"15,135","71,251",Florida
Bethesda Hospital East,Boynton Beach,467,"19,615","96,152",Florida
Bethesda Hospital West,Boynton Beach,0,0,0,Florida
Blake Medical Center,Bradenton,383,"13,892","68,516",Florida
Boca Raton Regional Hospital,Boca Raton,370,"19,708","90,734",Florida
Brandon Regional Hospital,Brandon,418,"24,027","95,205",Florida
Broward Health Coral Springs,Coral Springs,196,"10,900","46,694",Florida
Broward Health Imperial Point,Fort Lauderdale,174,"5,477","17,000",Florida
Broward Health Medical Center,Fort Lauderdale,632,"22,268","124,192",Florida
Broward Health North,Deerfield Beach,334,"12,749","60,958",Florida
Cape Coral Hospital,Cape Coral,280,"16,010","66,464",Florida
Capital Regional Medical Center,Tallahassee,266,"16,269","65,165",Florida
Central Florida Regional Hospital,Sanford,221,"11,676","51,163",Florida
Citrus Memorial Hospital,Inverness,204,"10,707","45,670",Florida
Cleveland Clinic in Florida - Weston,Weston,206,"11,392","51,827",Florida
Cleveland Clinic Indian River Hospital,Vero Beach,332,"13,128","52,737",Florida
Cleveland Clinic Martin Medical Center,Stuart,521,"106,929","125,109",Florida
Cleveland Clinic Martin South Hospital,Stuart,0,0,0,Florida
Cleveland Clinic Tradition Hospital,Port St. Lucie,0,0,0,Florida
Coral Gables Hospital,Coral Gables,245,"7,861","29,292",Florida
Delray Medical Center,Delray Beach,512,"16,226","78,272",Florida
DeSoto Memorial Hospital,Arcadia,49,"1,181","3,314",Florida
Doctors Hospital,Coral Gables,281,"5,634","24,705",Florida
Doctors Hospital of Sarasota,Sarasota,155,"7,665","29,635",Florida
Doctors' Memorial Hospital,Perry,48,711,"1,924",Florida
Dr. P. Phillips Hospital,Orlando,0,0,0,Florida
Ed Fraser Memorial Hospital,MacClenny,89,313,925,Florida
Englewood Community Hospital,Englewood,100,"3,352","10,419",Florida
Fawcett Memorial Hospital,Port Charlotte,237,"10,640","51,555",Florida
Flagler Hospital,Saint Augustine,335,"13,519","57,766",Florida
Florida Medical Center,Fort Lauderdale,434,"9,083","49,815",Florida
Florida State Hospital,Chattahoochee,58,0,"1,726",Florida
Fort Walton Beach Medical Center,Fort Walton Beach,267,"12,172","60,969",Florida
Good Samaritan Medical Center,West Palm Beach,333,"9,845","46,573",Florida
Gulf Breeze Hospital,Gulf Breeze,65,"3,727","13,614",Florida
Gulf Coast Medical Center,Fort Myers,356,"22,364","103,496",Florida
Gulf Coast Regional Medical Center,Panama City,222,"12,143","54,372",Florida
Halifax Health Medical Center of Daytona Beach,Daytona Beach,544,"20,678","109,708",Florida
Halifax Health Medical Center of Port Orange,Port Orange,0,0,0,Florida
Halifax Health/UF Health Medical Center of Deltona,Deltona,0,0,0,Florida
Health Central Hospital,Ocoee,211,"11,883","52,212",Florida
Health First Cape Canaveral Hospital,Cocoa Beach,150,"7,668","30,752",Florida
Health First Holmes Regional Medical Center,Melbourne,514,"30,103","145,675",Florida
Healthmark Regional Medical Center,Defuniak Springs,50,587,"2,398",Florida
HealthPark Medical Center,Fort Myers,0,0,0,Florida
Hialeah Hospital,Hialeah,362,"12,735","51,546",Florida
Highlands Regional Medical Center,Sebring,110,"3,269","13,064",Florida
Holy Cross Hospital,Fort Lauderdale,357,"15,007","66,969",Florida
Homestead Hospital,Homestead,142,"9,170","34,865",Florida
Jackson Hospital,Marianna,66,"2,733","13,281",Florida
Jackson Memorial Hospital,Miami,"1,663","56,014","384,757",Florida
Jackson North Medical Center,North Miami Beach,0,0,0,Florida
Jackson South Medical Center,Miami,192,"8,219","40,306",Florida
James A. Haley Veterans' Hospital,Tampa,0,0,0,Florida
Jay Hospital,Jay,21,509,"2,254",Florida
JFK Medical Center - Main,Atlantis,715,"32,869","144,489",Florida
JFK Medical Center - North Campus,West Palm Beach,229,"5,660","23,739",Florida
Jupiter Medical Center,Jupiter,207,"12,704","46,549",Florida
Kendall Regional Medical Center,Miami,417,"21,569","109,639",Florida
Lake City Medical Center,Lake City,91,"6,083","22,216",Florida
Lake City VA Medical Center,Lake City,0,0,0,Florida
Lakeland Regional Health Medical Center,Lakeland,864,"38,750","180,554",Florida
Lakeside Medical Center,Belle Glade,54,"1,981","8,337",Florida
Lakewood Ranch Medical Center,Lakewood Ranch,120,"6,417","24,280",Florida
Largo Medical Center,Largo,363,"12,139","64,095",Florida
Largo Medical Center - Indian Rocks Campus,Largo,177,"4,886","22,705",Florida
Larkin Community Hospital Palm Springs Campus,Hialeah,119,"3,979","21,726",Florida
Larkin Community Hospital South Miami,South Miami,121,"4,124","25,570",Florida
Lawnwood Regional Medical Center & Heart Institute,Fort Pierce,380,"16,421","91,467",Florida
Lee Memorial Hospital,Fort Myers,818,"39,787","183,739",Florida
Leesburg Regional Medical Center,Leesburg,329,"13,986","67,813",Florida
Lehigh Regional Medical Center,Lehigh Acres,78,"2,473","9,451",Florida
Lower Keys Medical Center,Key West,120,"2,784","10,960",Florida
Malcom Randall VA Medical Center,Gainesville,0,0,0,Florida
Manatee Memorial Hospital,Bradenton,295,"18,448","79,866",Florida
Mayo Clinic Hospital in Florida,Jacksonville,277,"14,727","72,919",Florida
Mease Countryside Hospital,Safety Harbor,311,"15,981","76,785",Florida
Mease Dunedin Hospital,Dunedin,112,"6,705","28,977",Florida
Medical Center of Trinity,Trinity,307,"13,759","61,641",Florida
Melbourne Regional Medical Center,Melbourne,113,"2,776","11,053",Florida
Memorial Hospital,Jacksonville,418,"19,782","103,754",Florida
Memorial Hospital Miramar,Miramar,178,"8,883","37,257",Florida
Memorial Hospital of Tampa,Tampa,183,"4,039","16,067",Florida
Memorial Hospital Pembroke,Pembroke Pines,301,"6,501","31,335",Florida
Memorial Hospital West,Pembroke Pines,486,"19,937","108,612",Florida
Memorial Regional Hospital,Hollywood,"1,013","30,148","194,862",Florida
Memorial Regional Hospital South,Hollywood,0,0,0,Florida
Mercy Hospital,Miami,343,"15,269","77,813",Florida
Miami Jewish Health Systems,Miami,454,295,"1,467",Florida
Miami VA Healthcare System,Miami,0,0,0,Florida
Moffitt Cancer Center,Tampa,206,"9,422","60,293",Florida
Morton Plant Hospital,Clearwater,710,"24,682","124,626",Florida
Morton Plant North Bay Hospital,New Port Richey,217,"12,375","53,266",Florida
Mount Sinai Medical Center,Miami Beach,589,"22,517","102,736",Florida
Naval Hospital Jacksonville,Jacksonville,0,0,0,Florida
Naval Hospital Pensacola,Pensacola,0,0,0,Florida
NCH Baker Hospital Downtown,Naples,602,"24,467","130,500",Florida
NCH North Naples Hospital,Naples,0,0,0,Florida
North Florida Regional Medical Center,Gainesville,414,"23,847","118,860",Florida
North Okaloosa Medical Center,Crestview,110,"5,130","21,143",Florida
North Shore Medical Center,Miami,748,"23,084","104,740",Florida
Northside Hospital & Tampa Bay Heart Institute,Saint Petersburg,221,"9,340","45,562",Florida
Northwest Medical Center,Margate,228,"14,230","60,740",Florida
Oak Hill Hospital,Brooksville,280,"19,220","88,074",Florida
Ocala Regional Medical Center,Ocala,360,"25,175","114,851",Florida
Orange Park Medical Center,Orange Park,317,"17,604","81,759",Florida
Orlando Regional Medical Center,Orlando,"1,593","92,416","402,267",Florida
Orlando VA Medical Center,Orlando,0,0,0,Florida
Osceola Regional Medical Center,Kissimmee,404,"22,863","106,404",Florida
Oviedo Medical Center,Oviedo,64,"3,140","11,846",Florida
Palm Bay Hospital,Palm Bay,138,"6,968","29,202",Florida
Palm Beach Gardens Medical Center,Palm Beach Gardens,199,"10,297","47,526",Florida
Palmetto General Hospital,Hialeah,367,"19,282","77,738",Florida
Palms of Pasadena Hospital,Saint Petersburg,187,"5,017","26,964",Florida
Palms West Hospital,Loxahatchee,204,"13,440","56,335",Florida
Parrish Medical Center,Titusville,210,"6,641","28,902",Florida
Physicians Regional - Collier Boulevard,Naples,0,0,0,Florida
Physicians Regional - Pine Ridge,Naples,201,"10,474","41,713",Florida
Plantation General Hospital,Plantation,660,"22,885","112,045",Florida
Poinciana Medical Center,Kissimmee,76,"4,207","15,817",Florida
Putnam Community Medical Center,Palatka,99,"5,469","22,853",Florida
Raulerson Hospital,Okeechobee,100,"4,383","17,327",Florida
Reception and Medical Center,Lake Butler,0,0,0,Florida
Regional Medical Center Bayonet Point,Hudson,290,"16,433","74,093",Florida
Rockledge Regional Medical Center,Rockledge,298,"7,766","41,296",Florida
Saint Anthony's Hospital,Saint Petersburg,358,"20,441","87,153",Florida
Saint Cloud Regional Medical Center,Saint Cloud,84,"4,051","15,898",Florida
Saint Joseph's Hospital,Tampa,"1,062","51,623","272,183",Florida
Saint Joseph's Hospital - North,Lutz,0,0,0,Florida
Saint Joseph's Hospital - South,Riverview,0,0,0,Florida
Saint Joseph's Women's Hospital,Tampa,0,0,0,Florida
Saint Lucie Medical Center,Port Saint Lucie,229,"12,279","52,133",Florida
Saint Mary's Medical Center,West Palm Beach,460,"16,283","88,365",Florida
Saint Petersburg General Hospital,Saint Petersburg,168,"5,482","24,046",Florida
Santa Rosa Medical Center,Milton,108,"4,399","15,065",Florida
Sarasota Memorial Hospital,Sarasota,766,"33,296","149,329",Florida
Sebastian River Medical Center,Sebastian,154,"4,738","20,752",Florida
Shands Lake Shore Regional Medical Center,Lake City,87,"2,311","10,381",Florida
South Bay Hospital,Sun City Center,138,"6,504","26,440",Florida
South Florida Baptist Hospital,Plant City,147,"7,317","27,339",Florida
South Lake Hospital,Clermont,170,"12,081","42,571",Florida
South Miami Hospital,South Miami,436,"15,532","80,997",Florida
South Seminole Hospital,Longwood,0,0,0,Florida
Sylvester Comprehensive Cancer Center,Miami,0,0,0,Florida
Tallahassee Memorial Healthcare,Tallahassee,475,"29,878","126,831",Florida
Tampa Community Hospital,Tampa,201,"3,184","14,911",Florida
Tampa General Hospital,Tampa,979,"47,752","275,019",Florida
The Villages Regional Hospital,The Villages,307,"12,745","58,992",Florida
Twin Cities Hospital,Niceville,65,"2,282","8,503",Florida
UF Health Cancer Center at Orlando Health,Orlando,0,0,0,Florida
UF Health Jacksonville,Jacksonville,589,"29,255","154,674",Florida
UF Health Shands Florida,Gainesville,"1,050","47,352","271,617",Florida
UHealth Tower,Miami,524,"18,851","110,826",Florida
University Hospital and Medical Center,Tamarac,305,"7,158","29,681",Florida
Venice Regional Bayfront Health,Venice,229,"8,315","34,319",Florida
Viera Hospital,Melbourne,84,"5,044","17,510",Florida
Wellington Regional Medical Center,Wellington,233,"13,631","56,094",Florida
West Boca Medical Center,West Boca Raton,194,"10,905","39,408",Florida
West Florida Hospital,Pensacola,397,"19,029","84,999",Florida
West Kendall Baptist Hospital,Miami,133,"8,006","33,578",Florida
West Marion Community Hospital,Ocala,0,0,0,Florida
West Palm Beach VA Medical Center,West Palm Beach,0,0,0,Florida
Westchester General Hospital,Miami,125,"3,099","15,256",Florida
Westside Regional Medical Center,Plantation,224,"13,562","59,869",Florida
Winter Haven Hospital,Winter Haven,476,"19,025","87,178",Florida
Winter Haven Women's Hospital,Winter Haven,0,0,0,Florida
Emory Hillandale Hospital,Lithonia,90,"4,356","18,719",Georgia
AdventHealth Gordon,Calhoun,69,"3,996","17,232",Georgia
AdventHealth Murray,Chatsworth,29,536,"1,575",Georgia
Appling Hospital,Baxley,165,566,"2,159",Georgia
Archbold Medical Center,Thomasville,328,"9,808","54,989",Georgia
Atlanta VA Medical Center,Decatur,0,0,0,Georgia
Augusta University Medical Center,Augusta,466,"21,456","119,314",Georgia
Burke Medical Center,Waynesboro,40,233,810,Georgia
Cancer Treatment Centers of America Atlanta,Newnan,50,"1,734","8,701",Georgia
Candler Hospital,Savannah,246,"10,464","59,842",Georgia
Cartersville Medical Center,Cartersville,119,"7,924","34,486",Georgia
Charlie Norwood VA Medical Center,Augusta,0,0,0,Georgia
CHI Memorial Hospital Georgia,Fort Oglethorpe,36,440,"1,415",Georgia
Coffee Regional Medical Center,Douglas,86,"4,801","17,537",Georgia
Coliseum Medical Center,Macon,250,"10,985","55,774",Georgia
Coliseum Northside Hospital,Macon,85,"3,186","10,937",Georgia
Colquitt Regional Medical Center,Moultrie,94,"4,654","20,965",Georgia
Crisp Regional Hospital,Cordele,208,"3,052","12,780",Georgia
Doctors Hospital of Augusta,Augusta,288,"15,668","79,684",Georgia
Dodge County Hospital,Eastman,50,"1,210","5,323",Georgia
Donalsonville Hospital,Donalsonville,140,"1,101","3,857",Georgia
Dorminy Medical Center,Fitzgerald,60,"1,136","3,640",Georgia
Dublin VA Medical Center,Dublin,0,0,0,Georgia
East Georgia Regional Medical Center,Statesboro,142,"8,936","35,527",Georgia
Eastside Medical Center,Snellville,287,"11,905","48,285",Georgia
Eisenhower Army Medical Center,Fort Gordon,0,0,0,Georgia
Elbert Memorial Hospital,Elberton,52,457,"1,841",Georgia
Emanuel Medical Center,Swainsboro,109,931,"2,880",Georgia
Emory Decatur Hospital,Decatur,422,"18,512","85,458",Georgia
Emory Johns Creek Hospital,Johns Creek,118,"8,560","35,625",Georgia
Emory Saint Joseph's Hospital,Atlanta,274,"14,677","71,609",Georgia
Emory University Hospital,Atlanta,622,"27,200","178,766",Georgia
Emory University Hospital at Wesley Woods,Atlanta,71,2,12,Georgia
Emory University Hospital Midtown,Atlanta,475,"20,709","137,314",Georgia
Emory University Orthopaedics & Spine Hospital,Tucker,0,0,0,Georgia
Evans Memorial Hospital,Claxton,59,481,"1,343",Georgia
Fairview Park Hospital,Dublin,160,"7,425","30,394",Georgia
Fannin Regional Hospital,Blue Ridge,50,"1,137","3,378",Georgia
Flint River Community Hospital,Montezuma,46,41,195,Georgia
Floyd Medical Center,Rome,299,"13,772","69,725",Georgia
Grady General Hospital,Cairo,46,"1,011","3,660",Georgia
Grady Memorial Hospital,Atlanta,974,"33,496","225,285",Georgia
Habersham Medical Center,Demorest,137,"1,640","6,348",Georgia
Hamilton Medical Center,Dalton,264,"9,016","40,101",Georgia
Houston Medical Center,Warner Robins,237,"13,111","64,966",Georgia
Irwin County Hospital,Ocilla,64,"1,006","2,204",Georgia
Jefferson Hospital,Louisville,37,385,"1,368",Georgia
Martin Army Community Hospital,Fort Benning,0,0,0,Georgia
Meadows Regional Medical Center,Vidalia,52,"4,160","16,135",Georgia
Medical Center Navicent Health,Macon,610,"30,189","176,094",Georgia
Memorial Hospital and Manor,Bainbridge,187,"2,201","5,233",Georgia
Memorial Satilla Health,Waycross,159,"7,143","25,370",Georgia
Memorial University Medical Center,Savannah,535,"26,827","144,789",Georgia
Navicent Health Baldwin,Milledgeville,113,"3,221","10,718",Georgia
Northeast Georgia Medical Center Barrow,Winder,56,"1,242","3,863",Georgia
Northeast Georgia Medical Center Braselton,Braselton,0,0,0,Georgia
Northeast Georgia Medical Center Gainesville,Gainesville,884,"37,006","177,326",Georgia
Northridge Medical Center,Commerce,195,327,"1,180",Georgia
Northside Hospital Atlanta,Atlanta,536,"35,153","209,713",Georgia
Northside Hospital Cherokee,Canton,114,"8,940","48,523",Georgia
Northside Hospital Duluth,Duluth,0,0,0,Georgia
Northside Hospital Forsyth,Cumming,299,"15,273","85,758",Georgia
Northside Hospital Gwinnett,Lawrenceville,556,"31,276","142,506",Georgia
Perry Hospital,Perry,39,"1,216","5,303",Georgia
Phoebe Putney Memorial Hospital,Albany,449,"16,946","96,616",Georgia
Phoebe Putney Memorial Hospital North Campus,Albany,124,"1,490","20,630",Georgia
Phoebe Sumter Medical Center,Americus,54,"2,866","11,753",Georgia
Piedmont Athens Regional Medical Center,Athens,357,"20,937","99,711",Georgia
Piedmont Atlanta Hospital,Atlanta,512,"26,947","146,643",Georgia
Piedmont Columbus Regional - Midtown Campus,Columbus,334,"15,941","84,780",Georgia
Piedmont Columbus Regional - Northside,Columbus,87,"3,144","8,643",Georgia
Piedmont Fayette Hospital,Fayetteville,290,"17,251","78,868",Georgia
Piedmont Henry Hospital,Stockbridge,341,"15,434","68,661",Georgia
Piedmont Mountainside Hospital,Jasper,52,"3,767","13,858",Georgia
Piedmont Newnan Hospital,Newnan,150,"10,607","45,300",Georgia
Piedmont Newton Hospital,Covington,94,"5,172","18,833",Georgia
Piedmont Rockdale Hospital,Conyers,141,"8,820","44,691",Georgia
Piedmont Walton,Monroe,76,"2,614","9,718",Georgia
Redmond Regional Medical Center,Rome,228,"11,565","49,779",Georgia
Saint Francis Hospital,Columbus,325,"13,518","64,904",Georgia
Saint Joseph's Hospital,Savannah,243,"11,035","55,073",Georgia
Saint Mary's Sacred Heart Hospital,Lavonia,56,"1,882","7,169",Georgia
SGMC Berrien Campus,Nashville,63,182,796,Georgia
South Georgia Medical Center,Valdosta,288,"13,694","69,681",Georgia
Southeast Georgia Health System - Brunswick Campus,Brunswick,300,"12,617","66,438",Georgia
Southeast Georgia Health System - Camden Campus,Saint Marys,40,"2,563","8,062",Georgia
Southern Regional Medical Center,Riverdale,264,"10,572","47,607",Georgia
Southwell Medical,Adel,140,123,528,Georgia
St. Mary's Hospital,Athens,185,"9,713","42,962",Georgia
Stephens County Hospital,Toccoa,74,"1,675","6,172",Georgia
Tanner Medical Center Carrollton,Carrollton,157,"8,791","42,833",Georgia
Tanner Medical Center Villa Rica,Villa Rica,132,"3,091","12,727",Georgia
Taylor Regional Hospital,Hawkinsville,157,"1,065","3,478",Georgia
Tift Regional Medical Center,Tifton,181,"9,675","44,707",Georgia
Turning Point Care Center,Moultrie,59,"3,248","12,565",Georgia
Union General Hospital,Blairsville,189,"2,423","8,187",Georgia
University Hospital,Augusta,574,"26,244","134,032",Georgia
University Hospital McDuffie,Thomson,25,540,"1,925",Georgia
University Hospital Summerville,Augusta,156,"2,917","10,044",Georgia
Upson Regional Medical Center,Thomaston,105,"3,234","12,862",Georgia
Washington County Regional Medical Center,Sandersville,116,464,"1,454",Georgia
Wayne Memorial Hospital,Jesup,88,"3,123","13,265",Georgia
WellStar Atlanta Medical Center,Atlanta,528,"16,822","99,882",Georgia
WellStar Atlanta Medical Center - South Campus,East Point,198,"4,828","25,554",Georgia
WellStar Cobb Hospital,Austell,387,"18,504","94,690",Georgia
WellStar Douglas Hospital,Douglasville,102,"6,713","26,980",Georgia
WellStar Kennestone Hospital,Marietta,662,"40,080","195,673",Georgia
WellStar North Fulton Regional Hospital,Roswell,202,"6,871","31,733",Georgia
WellStar Paulding Hospital,Hiram,294,"8,229","28,236",Georgia
WellStar Spalding Regional Hospital,Griffin,160,"8,337","36,482",Georgia
WellStar West Georgia Medical Center,LaGrange,426,"7,824","32,337",Georgia
Winn Army Community Hospital,Fort Stewart,0,0,0,Georgia
Adventist Health Castle,Kailua,160,"7,708","32,760",Hawaii
Hilo Medical Center,Hilo,276,"7,704","43,911",Hawaii
Kaiser Permanente Moanalua Medical Center & Clinic,Honolulu,295,"11,715","69,059",Hawaii
Kona Community Hospital,Kealakekua,94,"3,276","17,098",Hawaii
Kuakini Medical Center,Honolulu,357,"3,653","23,330",Hawaii
Maui Memorial Medical Center,Wailuku,219,"8,890","58,693",Hawaii
North Hawaii Community Hospital,Kamuela,33,"1,709","5,420",Hawaii
Pali Momi Medical Center,Aiea,118,"5,656","32,917",Hawaii
Straub Medical Center,Honolulu,159,"6,379","38,433",Hawaii
The Queen's Medical Center,Honolulu,650,"28,353","179,953",Hawaii
The Queen's Medical Center West O'Ahu,Ewa Beach,0,0,0,Hawaii
Tripler Army Medical Center,Honolulu,0,0,0,Hawaii
Wahiawa General Hospital,Wahiawa,150,"1,099","5,119",Hawaii
Wilcox Memorial Hospital,Lihue,72,"3,268","16,581",Hawaii
"Genesis Medical Center, East Rusholme Street",Davenport,329,"15,494","60,753",Iowa
Broadlawns Medical Center,Des Moines,117,"3,223","23,099",Iowa
Cedar Falls Medical Center,Cedar Falls,50,708,"2,379",Iowa
CHI Health Mercy Council Bluffs,Council Bluffs,145,"6,014","22,366",Iowa
Fort Madison Community Hospital,Fort Madison,50,"1,048","3,698",Iowa
"Genesis Medical Center, West Central Park",Davenport,0,0,0,Iowa
Great River Medical Center,West Burlington,307,"7,914","24,173",Iowa
Iowa City VA Health Care System,Iowa City,0,0,0,Iowa
Iowa Lutheran Hospital,Des Moines,189,"8,036","38,352",Iowa
Iowa Methodist Medical Center,Des Moines,484,"31,356","134,305",Iowa
Lakes Regional Hospital,Spirit Lake,44,988,"3,087",Iowa
Mary Greeley Medical Center,Ames,195,"8,130","30,583",Iowa
Mercy Iowa City,Iowa City,218,"7,143","24,645",Iowa
Mercy Medical Center,Cedar Rapids,243,"8,825","33,207",Iowa
Mercy Medical Center - North Campus,Clinton,107,"3,515","10,009",Iowa
MercyOne Des Moines,Des Moines,583,"32,467","152,376",Iowa
MercyOne Dubuque Medical Center,Dubuque,179,"7,765","31,884",Iowa
MercyOne North Iowa,Mason City,235,"10,900","44,005",Iowa
MercyOne Siouxland Medical Center,Sioux City,197,"8,191","41,831",Iowa
MercyOne West Des Moines Medical Center,West Des Moines,0,0,0,Iowa
Methodist Jennie Edmundson Hospital,Council Bluffs,110,"6,318","22,681",Iowa
Methodist West Hospital,West Des Moines,0,0,0,Iowa
Ottumwa Regional Health Center,Ottumwa,120,"2,219","8,132",Iowa
Saint Anthony Regional Hospital,Carroll,142,"1,513","6,117",Iowa
Saint Luke's Hospital,Cedar Rapids,343,"14,615","67,109",Iowa
Skiff Medical Center,Newton,48,676,"2,684",Iowa
Spencer Hospital,Spencer,64,"1,851","6,345",Iowa
Trinity Regional Medical Center,Fort Dodge,46,"3,300","12,403",Iowa
UnityPoint Health - Allen Hospital,Waterloo,199,"9,149","33,116",Iowa
UnityPoint Health - Finley Hospital,Dubuque,106,"4,141","16,165",Iowa
UnityPoint Health - Grinnell Regional Medical Center.,Grinnell,49,"1,108","3,924",Iowa
UnityPoint Health - Marshalltown,Marshalltown,41,"1,702","6,118",Iowa
UnityPoint Health - Trinity Muscatine,Muscatine,45,"1,360","4,190",Iowa
UnityPoint Health Keokuk,Keokuk,49,538,"1,614",Iowa
UnityPoint Health St. Luke's Regional Medical Center,Sioux City,169,"8,845","37,194",Iowa
UnityPoint Health Trinity - Bettendorf,Bettendorf,87,"4,659","14,603",Iowa
University of Iowa Hospitals & Clinics,Iowa City,789,"32,758","215,669",Iowa
VA Central Iowa Health Care System,Des Moines,0,0,0,Iowa
Waterloo Medical Center,Waterloo,187,"5,136","25,391",Iowa
Boise VA Medical Center,Boise,0,0,0,Idaho
Eastern Idaho Regional Medical Center,Idaho Falls,271,"9,133","44,200",Idaho
Idaho Falls Community Hospital,Idaho Falls,0,0,0,Idaho
Kootenai Health,Coeur d'Alene,297,"14,592","69,155",Idaho
Madison Memorial Hospital,Rexburg,67,"2,601","9,023",Idaho
Mountain View Hospital,Idaho Falls,41,"2,628","7,985",Idaho
Northwest Specialty Hospital,Post Falls,34,"1,318","2,446",Idaho
Portneuf Medical Center,Pocatello,165,"7,540","30,886",Idaho
Saint Alphonsus Medical Center - Nampa,Nampa,96,"5,637","21,764",Idaho
Saint Alphonsus Neighborhood Hospital - South Nampa,Nampa,8,145,267,Idaho
Saint Alphonsus Regional Medical Center,Boise,378,"16,465","80,835",Idaho
Saint Joseph Regional Medical Center,Lewiston,130,"4,134","15,037",Idaho
St. Luke's Boise Medical Center,Boise,578,"30,834","126,381",Idaho
St. Luke's Magic Valley Medical Center,Twin Falls,214,"12,154","36,165",Idaho
St. Luke's Meridian Medical Center,Meridian,0,0,0,Idaho
St. Luke's Nampa Medical Center,Nampa,70,"2,949","10,238",Idaho
Treasure Valley Hospital,Boise,9,661,"1,036",Idaho
West Valley Medical Center,Caldwell,112,"4,126","14,907",Idaho
Carle Richland Memorial Hospital,Olney,81,958,"4,439",Illinois
Northwestern Medicine Kishwaukee Hospital,DeKalb,98,"5,056","21,448",Illinois
375th Medical Group - Scott Air Force Base Medical Center,Scott Air Force Base,0,0,0,Illinois
Advocate BroMenn Regional Medical Center,Normal,221,"8,164","32,224",Illinois
Advocate Christ Medical Center,Oak Lawn,777,"42,133","227,436",Illinois
Advocate Condell Medical Center,Libertyville,273,"15,638","69,512",Illinois
Advocate Good Samaritan Hospital,Downers Grove,284,"16,279","70,253",Illinois
Advocate Good Shepherd Hospital,Barrington,176,"9,712","40,013",Illinois
Advocate Illinois Masonic Medical Center,Chicago,311,"11,900","51,024",Illinois
Advocate Lutheran General Hospital,Park Ridge,629,"27,333","145,866",Illinois
Advocate Sherman Hospital,Elgin,255,"16,813","60,597",Illinois
Advocate South Suburban Hospital,Hazel Crest,233,"9,628","38,306",Illinois
Advocate Trinity Hospital,Chicago,201,"7,277","29,974",Illinois
Alton Memorial Hospital,Alton,152,"7,386","24,099",Illinois
AMITA Health Adventist GlenOaks Hospital,Glendale Heights,138,"5,196","23,625",Illinois
AMITA Health Adventist Medical Center Bolingbrook,Bolingbrook,134,"5,834","22,747",Illinois
AMITA Health Adventist Medical Center Hinsdale,Hinsdale,261,"10,966","51,311",Illinois
AMITA Health Adventist Medical Center La Grange,La Grange,176,"7,405","32,100",Illinois
AMITA Health Alexian Brothers Medical Center Elk Grove Village,Elk Grove Village,354,"15,522","74,451",Illinois
AMITA Health Mercy Medical Center Aurora,Aurora,256,"5,994","25,330",Illinois
AMITA Health Resurrection Medical Center Chicago,Chicago,274,"12,201","54,261",Illinois
AMITA Health Saint Francis Hospital Evanston,Evanston,181,"8,040","30,501",Illinois
AMITA Health Saint Joseph Hospital Chicago,Chicago,313,"9,985","43,629",Illinois
AMITA Health Saint Joseph Hospital Elgin,Elgin,184,"5,648","25,669",Illinois
AMITA Health Saint Joseph Medical Center Joliet,Joliet,424,"18,048","72,554",Illinois
AMITA Health Saints Mary and Elizabeth Medical Center Saint Elizabeth Campus,Chicago,219,"7,753","40,230",Illinois
AMITA Health Saints Mary and Elizabeth Medical Center Saint Mary Campus,Chicago,429,"16,912","83,883",Illinois
AMITA Health St. Alexius Medical Center Hoffman Estates,Hoffman Estates,318,"16,621","77,115",Illinois
AMITA Health St. Marys Hospital Kankakee,Kankakee,169,"5,534","21,211",Illinois
Anderson Hospital,Maryville,154,"6,932","27,287",Illinois
Blessing Hospital,Quincy,327,"12,588","50,931",Illinois
Cancer Treatment Centers of America Chicago,Zion,73,"1,395","8,119",Illinois
Captain James A. Lovell Federal Health Care Center,North Chicago,0,0,0,Illinois
Carle Foundation Hospital,Urbana,411,"27,238","116,233",Illinois
CGH Medical Center,Sterling,96,"3,944","13,874",Illinois
Community First Medical Center,Chicago,279,"5,656","30,912",Illinois
Crossroads Community Hospital,Mount Vernon,47,"1,115","3,352",Illinois
Decatur Memorial Hospital,Decatur,222,"8,859","36,883",Illinois
"Edward Hines, Jr. VA Hospital",Hines,0,0,0,Illinois
Edward Hospital,Naperville,298,"22,048","94,116",Illinois
Elmhurst Hospital,Elmhurst,282,"17,404","69,930",Illinois
Evanston Hospital,Evanston,751,"39,381","170,431",Illinois
FHN Memorial Hospital,Freeport,100,"3,830","14,237",Illinois
Franciscan Health Olympia Fields Campus,Olympia Fields,206,"10,945","45,101",Illinois
Galesburg Cottage Hospital,Galesburg,112,"1,754","6,699",Illinois
Gateway Regional Medical Center,Granite City,305,"6,417","29,246",Illinois
